poste,competences_requises,competences_candidat,experience_requise,experience_candidat,diplome_requis,diplome_candidat,langues_requises,langues_candidat,score_compatibilite
SEO/SEA,Search Console; SEO; Google Ads,Keyword Research; Google Analytics; Search Console; SEO,3,2,Licence,Master,Français; Anglais,Français,70.0
Developpeur Web,PHP; Laravel; JavaScript; HTML/CSS; MySQL; Git,Laravel; HTML/CSS; PHP; Canva; Instagram,3,5,Master,Master,Français; Anglais,Français; Anglais,72.5
SEO/SEA,SEM; Google Analytics; Google Ads; Search Console; Keyword Research,Search Console; Google Analytics; Keyword Research; Google Ads,4,3,Master,Bac,Français,Français; Anglais,76.5
Social Media Manager,TikTok; Analytics; Instagram; Facebook; Meta Ads,Facebook; LinkedIn; TikTok; Instagram; Meta Ads,1,5,Master,Bac,Anglais; Français,Français; Anglais,81.5
Graphiste,Typographie; Illustrator; Canva; InDesign; Branding,Aucune information,3,5,Bac,Licence,Français,Français,45.0
UI/UX Designer,UX Research; Figma; Adobe XD; Illustrator; Prototypage,Photoshop; Illustrator; Figma; Adobe XD; Scrum; ClickUp,3,0,Licence,Licence,Anglais; Français,Français,53.0
SEO/SEA,SEM; SEO; Google Ads; Keyword Research; Google Analytics,Search Console; Google Ads; SEO; Keyword Research; Google Analytics; SEM,3,0,Licence,Bac,Français; Anglais,Français; Anglais,72.5
UI/UX Designer,Illustrator; Figma; Adobe XD; Photoshop,Illustrator; Figma; Prototypage,4,5,Master,Licence,Anglais; Français,Français,60.0
Data Analyst,Python; Data Visualization; SQL; Pandas,Pandas; Data Visualization; Excel,3,4,Licence,Licence,Français,Français; Anglais,72.5
Data Analyst,Power BI; SQL; Excel; Pandas; Data Visualization,Data Visualization,2,3,Bac,Master,Français; Anglais,Français; Anglais,56.0
Developpeur Mobile,Kotlin; Flutter; Git; Firebase; Dart,Flutter; Kotlin; Java; Dart; Firebase,1,4,Master,Licence,Français,Français; Anglais,81.5
Developpeur Web,Git; PHP; MySQL; HTML/CSS; JavaScript,Aucune information,4,3,Bac,Bac,Anglais,Français; Anglais,40.0
Data Analyst,Excel; Power BI; Data Visualization; Python,SQL; Python,1,1,Master,Master,Français; Anglais,Français,53.8
Data Analyst,Data Visualization; Python; Excel,Aucune information,2,0,Licence,Licence,Anglais; Français,Français; Anglais,25.0
Developpeur Mobile,Flutter; Kotlin; Dart,Flutter; Firebase; Java; Kotlin; Git,2,3,Licence,Licence,Anglais; Français,Français,76.7
SEO/SEA,SEO; Google Ads; Search Console; SEM,SEM; Google Analytics; SEO; Keyword Research,1,5,Licence,Bac,Anglais; Français,Français; Anglais,65.0
SEO/SEA,SEO; Search Console; Google Analytics; SEM; Google Ads; Keyword Research,Search Console; Google Ads; SEM; Keyword Research; Google Analytics; ClickUp; Git,2,0,Master,Master,Français; Anglais,Français,65.8
Chef de projet digital,Scrum; Agile; ClickUp; Communication; Gestion de projet; Asana,Scrum; Agile; ClickUp,3,7,Bac,Bac,Anglais,Français,62.5
Developpeur Mobile,Kotlin; Flutter; Java; Dart; Firebase; Git,Firebase; Flutter,1,6,Bac,Licence,Français; Anglais,Français; Anglais,63.3
Chef de projet digital,Communication; ClickUp; Agile; Gestion de projet; Asana,Agile; Communication; Scrum; ClickUp; Gestion de projet,1,6,Licence,Bac,Anglais; Français,Français; Anglais,81.5
Developpeur Mobile,Dart; Git; Kotlin; Firebase; Java; Flutter,Kotlin; Java; Dart,4,0,Bac,Master,Anglais,Français,42.5
SEO/SEA,Keyword Research; Google Ads; Search Console; Google Analytics; SEO; SEM,Search Console; Google Ads; Google Analytics; Keyword Research,4,2,Master,Licence,Anglais; Français,Français,59.2
Content Manager,Analytics; Content Strategy; Copywriting; Canva; WordPress,Analytics; SEO; Copywriting; Canva; WordPress,2,4,Bac,Licence,Anglais; Français,Français; Anglais,89.0
Data Analyst,Power BI; Python; Pandas; Data Visualization; SQL,SQL; Excel,2,2,Bac,Bac,Français,Français,56.0
Data Analyst,Excel; Power BI; Python,Data Visualization; Python; Power BI; SQL; Excel,2,5,Master,Master,Français; Anglais,Français; Anglais,100.0
Content Manager,SEO; Copywriting; Analytics; Content Strategy; WordPress; Canva,Analytics,4,3,Bac,Bac,Français,Français; Anglais,49.2
UI/UX Designer,Prototypage; Photoshop; Figma; Adobe XD,Photoshop,4,6,Master,Master,Français,Français; Anglais,58.8
Content Manager,WordPress; Copywriting; SEO; Analytics; Content Strategy,SEO,2,2,Licence,Licence,Français; Anglais,Français; Anglais,56.0
Chef de projet digital,Agile; Asana; ClickUp,Asana; ClickUp; Agile; Scrum; Communication,2,4,Master,Bac,Français,Français,92.5
Data Analyst,Power BI; Python; Excel; Data Visualization; Pandas; SQL,Python; SQL; Pandas; Excel; Power BI,1,3,Bac,Master,Français,Français,90.8
Developpeur Mobile,Flutter; Git; Firebase; Kotlin,Firebase; Java; Flutter; Kotlin; Git; Dart,1,3,Bac,Master,Français,Français; Anglais,100.0
SEO/SEA,Keyword Research; SEO; Search Console,SEO; Google Analytics; Keyword Research; SEM; Facebook,1,3,Master,Master,Anglais,Français; Anglais,81.7
Graphiste,Typographie; Canva; InDesign; Branding,Branding; Illustrator; Photoshop; Canva; Instagram; Keyword Research,2,4,Licence,Bac,Français,Français,65.0
Social Media Manager,LinkedIn; Meta Ads; Instagram; Facebook,Analytics,2,6,Bac,Bac,Français; Anglais,Français,40.0
Data Analyst,Excel; Python; Data Visualization,Data Visualization,1,1,Bac,Licence,Anglais; Français,Français; Anglais,63.3
Chef de projet digital,Asana; Gestion de projet; Communication; ClickUp; Agile; Scrum,Scrum; Communication,3,6,Licence,Licence,Français,Français,63.3
Social Media Manager,LinkedIn; Analytics; TikTok; Instagram; Meta Ads; Facebook,Instagram; Meta Ads; Analytics; LinkedIn; Facebook; TikTok,2,6,Master,Master,Anglais,Français; Anglais,100.0
SEO/SEA,SEO; Keyword Research; Google Analytics; SEM,Google Ads; Keyword Research; Google Analytics; TikTok; HTML/CSS,4,3,Master,Licence,Anglais,Français; Anglais,60.0
Content Manager,Content Strategy; SEO; Canva; WordPress,WordPress; SEO,2,1,Master,Bac,Anglais,Français; Anglais,55.0
Graphiste,Canva; Typographie; Branding; Photoshop; InDesign,Branding; Typographie; Illustrator; Canva,3,2,Bac,Master,Français,Français,71.3
Community Manager,Instagram; Copywriting; Canva; Analytics; TikTok; Facebook,Instagram; Analytics; Facebook,4,2,Master,Bac,Français,Français; Anglais,55.0
Content Manager,Analytics; SEO; Canva,Canva; Analytics; SEO; Copywriting; WordPress,3,3,Master,Bac,Anglais,Français; Anglais,92.5
Content Manager,SEO; Content Strategy; WordPress; Copywriting,Content Strategy,2,4,Bac,Master,Anglais,Français; Anglais,58.8
Graphiste,Branding; Canva; Typographie; Photoshop; InDesign; Illustrator,Typographie,2,3,Master,Master,Français,Français,54.2
Graphiste,Canva; Illustrator; Photoshop; Typographie; InDesign; Branding,Branding; Typographie; Photoshop,2,4,Master,Master,Français,Français,72.5
Chef de projet digital,Gestion de projet; Communication; Agile; Asana,Gestion de projet; ClickUp; Scrum; Communication; Asana,4,1,Master,Licence,Anglais; Français,Français; Anglais,63.7
Graphiste,InDesign; Branding; Canva,Branding; Photoshop; Typographie; Illustrator,3,5,Bac,Licence,Français,Français,63.3
Developpeur Mobile,Git; Java; Firebase; Dart,Dart; Git; Java; Flutter; Kotlin; Firebase,4,2,Master,Master,Anglais; Français,Français; Anglais,90.0
UI/UX Designer,UX Research; Adobe XD; Illustrator,Photoshop; Prototypage; Figma; Illustrator; Adobe XD; UX Research,2,6,Bac,Bac,Anglais,Français; Anglais,100.0
Developpeur Mobile,Firebase; Dart; Kotlin,Java; Kotlin; Firebase,1,4,Master,Bac,Anglais,Français,64.2
Chef de projet digital,Agile; Scrum; Asana; Communication; ClickUp; Gestion de projet,Communication,2,1,Master,Licence,Anglais,Français,26.7
SEO/SEA,Keyword Research; Google Ads; SEO; Google Analytics; SEM; Search Console,Keyword Research,3,3,Master,Licence,Anglais; Français,Français; Anglais,46.7
SEO/SEA,Keyword Research; SEO; Google Analytics,Keyword Research; SEM; Google Ads,3,6,Bac,Licence,Anglais; Français,Français,58.3
Developpeur Web,PHP; MySQL; HTML/CSS; Laravel; Git; JavaScript,MySQL; Data Visualization; Content Strategy,3,2,Licence,Bac,Français; Anglais,Français; Anglais,40.0
Social Media Manager,Instagram; Meta Ads; TikTok; Facebook; LinkedIn,Instagram; TikTok; Analytics; Facebook; Meta Ads,4,6,Master,Master,Français,Français; Anglais,89.0
Developpeur Mobile,Java; Flutter; Kotlin; Dart; Firebase; Git,Java; Firebase; Git; Flutter; Kotlin; Dart,4,3,Master,Licence,Anglais; Français,Français,82.5
Social Media Manager,Analytics; Instagram; LinkedIn; Facebook; Meta Ads; TikTok,Facebook; TikTok; Meta Ads; LinkedIn,1,1,Bac,Master,Anglais,Français; Anglais,81.7
Content Manager,Copywriting; SEO; Canva; Content Strategy; WordPress,Canva; SEO,4,4,Master,Master,Anglais; Français,Français; Anglais,67.0
Community Manager,Copywriting; Canva; Analytics; Facebook,Facebook; Instagram; Canva; Copywriting; Analytics; TikTok,2,2,Master,Licence,Anglais,Français; Anglais,92.5
SEO/SEA,Search Console; Google Ads; SEO,Google Analytics; Search Console; Keyword Research; Google Ads; SEM,2,3,Licence,Bac,Français; Anglais,Français; Anglais,74.2
Content Manager,Copywriting; Analytics; Content Strategy; Canva,Copywriting; Canva; SEO; WordPress,4,2,Master,Licence,Français; Anglais,Français; Anglais,55.0
Developpeur Mobile,Dart; Firebase; Kotlin,Git; Firebase,3,4,Licence,Licence,Anglais; Français,Français; Anglais,63.3
Developpeur Web,HTML/CSS; Laravel; MySQL; Git,Search Console,1,0,Bac,Bac,Anglais,Français,15.0
Developpeur Mobile,Firebase; Java; Dart,Kotlin,1,5,Master,Bac,Anglais; Français,Français; Anglais,37.5
Developpeur Web,MySQL; Git; JavaScript; HTML/CSS; Laravel,HTML/CSS; JavaScript; Git; MySQL; Laravel,4,3,Bac,Master,Anglais,Français; Anglais,95.0
Community Manager,Canva; TikTok; Instagram; Analytics; Facebook,Canva; Copywriting; WordPress,1,3,Master,Licence,Anglais,Français; Anglais,48.5
Community Manager,Facebook; Copywriting; TikTok; Analytics,Analytics,4,3,Master,Licence,Anglais; Français,Français; Anglais,46.2
Graphiste,InDesign; Branding; Typographie; Illustrator; Photoshop,Aucune information,1,4,Bac,Licence,Français,Français,45.0
Content Manager,SEO; Copywriting; WordPress; Canva; Content Strategy; Analytics,Canva; WordPress; SEO; Content Strategy; Copywriting,2,2,Bac,Licence,Anglais; Français,Français; Anglais,90.8
Chef de projet digital,Asana; Agile; Scrum,Scrum,1,4,Licence,Licence,Français; Anglais,Français,58.3
Graphiste,Canva; Illustrator; Photoshop; Typographie; Branding; InDesign,Illustrator; Photoshop,2,4,Licence,Master,Français,Français,63.3
Chef de projet digital,Scrum; Asana; Agile; Gestion de projet; ClickUp,Asana,1,6,Bac,Bac,Anglais; Français,Français; Anglais,56.0
Chef de projet digital,Asana; Agile; Scrum; Gestion de projet,Communication; Scrum,4,1,Bac,Bac,Français; Anglais,Français; Anglais,43.8
Social Media Manager,Analytics; Instagram; Facebook; TikTok; Meta Ads; LinkedIn,LinkedIn; Meta Ads; TikTok; Analytics; Instagram,2,4,Licence,Licence,Anglais,Français; Anglais,90.8
Content Manager,WordPress; Content Strategy; SEO; Canva,Analytics; Content Strategy; Canva; Copywriting; WordPress; SEO,3,2,Licence,Master,Anglais; Français,Français; Anglais,93.3
Data Analyst,SQL; Pandas; Power BI; Excel; Python; Data Visualization,Data Visualization; Python; Pandas; Power BI,3,3,Licence,Bac,Français; Anglais,Français; Anglais,74.2
Content Manager,Analytics; Canva; Copywriting; WordPress; SEO; Content Strategy,WordPress; Canva; Analytics; SEO; Copywriting; Content Strategy,1,0,Bac,Master,Anglais,Français; Anglais,80.0
Developpeur Mobile,Flutter; Dart; Kotlin; Git; Firebase,Kotlin; Dart; Git; Firebase; Agile; Copywriting,4,5,Bac,Licence,Français,Français,89.0
Developpeur Mobile,Dart; Java; Git; Firebase,Firebase; Java,3,2,Master,Licence,Anglais,Français; Anglais,58.3
Social Media Manager,Meta Ads; Analytics; Instagram; LinkedIn,Aucune information,3,2,Licence,Master,Anglais; Français,Français; Anglais,38.3
Community Manager,TikTok; Instagram; Copywriting,Aucune information,3,1,Bac,Bac,Français; Anglais,Français; Anglais,31.7
Graphiste,InDesign; Photoshop; Canva; Typographie; Branding,Canva,1,5,Master,Master,Français,Français,56.0
Developpeur Mobile,Flutter; Java; Git; Kotlin; Firebase,Dart; Java; Flutter; Firebase; Kotlin; Git,3,0,Licence,Licence,Anglais; Français,Français; Anglais,80.0
Data Analyst,SQL; Python; Power BI; Data Visualization,SQL,1,7,Bac,Master,Anglais; Français,Français,53.8
Community Manager,Canva; Copywriting; Analytics,Analytics; Copywriting; Instagram,2,5,Bac,Master,Français; Anglais,Français; Anglais,81.7
SEO/SEA,Search Console; Keyword Research; SEO; SEM; Google Ads,Keyword Research; SEO,4,1,Licence,Licence,Français; Anglais,Français; Anglais,52.0
UI/UX Designer,Figma; Adobe XD; Prototypage; Photoshop; Illustrator; UX Research,Adobe XD; Photoshop; Figma; UX Research,1,0,Bac,Licence,Français,Français; Anglais,61.7
Graphiste,Illustrator; Branding; InDesign; Canva,Branding; Typographie; Photoshop,4,0,Master,Licence,Français,Français,31.2
Content Manager,WordPress; Canva; Analytics; Content Strategy; SEO,Analytics; Canva; TikTok,3,5,Master,Bac,Français; Anglais,Français,54.5
Content Manager,SEO; Analytics; Canva,Canva; Analytics,1,0,Bac,Licence,Anglais,Français,51.7
Community Manager,Copywriting; TikTok; Facebook; Analytics,Instagram,3,3,Licence,Master,Anglais,Français; Anglais,45.0
Content Manager,Canva; SEO; Content Strategy; Analytics,Analytics; Scrum; Power BI,3,1,Master,Bac,Anglais; Français,Français; Anglais,37.9
UI/UX Designer,Adobe XD; Prototypage; UX Research; Illustrator; Figma; Photoshop,Photoshop; Illustrator; Prototypage; Adobe XD; UX Research; Figma,2,0,Licence,Bac,Français,Français; Anglais,72.5
Community Manager,Copywriting; Instagram; Analytics; TikTok,Copywriting,1,3,Licence,Master,Anglais,Français; Anglais,58.8
SEO/SEA,SEM; Google Ads; Keyword Research; SEO; Google Analytics; Search Console,Search Console; Google Ads; Keyword Research; SEO; Google Analytics,4,3,Bac,Master,Anglais; Français,Français; Anglais,85.8
Chef de projet digital,ClickUp; Communication; Agile; Asana,Agile; ClickUp; Gestion de projet; Communication,4,3,Master,Master,Anglais; Français,Français; Anglais,81.2
SEO/SEA,Google Ads; Google Analytics; SEM,Google Analytics; Keyword Research; SEO,4,1,Licence,Licence,Anglais; Français,Français,43.3
Data Analyst,SQL; Pandas; Data Visualization,Power BI,4,3,Licence,Licence,Anglais; Français,Français; Anglais,40.0
UI/UX Designer,Figma; UX Research; Illustrator,Illustrator; Figma; Adobe XD; UX Research,3,5,Bac,Bac,Français; Anglais,Français; Anglais,100.0
Developpeur Web,MySQL; HTML/CSS; Git; Laravel; PHP; JavaScript,Aucune information,2,6,Bac,Licence,Anglais,Français; Anglais,45.0
Chef de projet digital,Scrum; Gestion de projet; ClickUp; Communication,Gestion de projet,4,8,Licence,Bac,Français,Français; Anglais,51.3
Social Media Manager,Instagram; Facebook; TikTok,Instagram; Analytics; TikTok,3,5,Bac,Master,Français,Français; Anglais,81.7
Chef de projet digital,Agile; Communication; Asana; Scrum; ClickUp,Scrum; Agile; Asana,4,6,Bac,Master,Français; Anglais,Français; Anglais,78.0
Developpeur Web,JavaScript; HTML/CSS; PHP,JavaScript; HTML/CSS,4,2,Master,Bac,Anglais; Français,Français; Anglais,64.2
Chef de projet digital,Scrum; Gestion de projet; Communication; Asana; ClickUp; Agile,Agile; Scrum; ClickUp; Gestion de projet; Communication,1,8,Bac,Master,Anglais,Français; Anglais,90.8
Community Manager,Facebook; TikTok; Copywriting; Canva; Instagram,Copywriting; Analytics; Facebook; Canva; TikTok,1,2,Bac,Master,Anglais; Français,Français; Anglais,89.0
Developpeur Web,Git; Laravel; HTML/CSS; MySQL,HTML/CSS; MySQL; PHP; Git,3,2,Licence,Licence,Français; Anglais,Français; Anglais,79.6
Developpeur Web,Git; JavaScript; Laravel; MySQL; HTML/CSS,MySQL; PHP; HTML/CSS; Laravel; JavaScript,2,1,Master,Licence,Anglais,Français; Anglais,71.5
Data Analyst,SQL; Python; Excel; Pandas; Power BI,SQL; Data Visualization; Excel; Pandas,1,4,Licence,Licence,Anglais,Français; Anglais,78.0
Data Analyst,SQL; Python; Power BI; Data Visualization,Power BI; Python; Communication; Illustrator,1,0,Bac,Master,Français; Anglais,Français,47.5
Graphiste,InDesign; Typographie; Branding; Illustrator,Photoshop; Typographie,1,4,Licence,Master,Français,Français,58.8
Data Analyst,Pandas; Excel; Data Visualization; Python; SQL,Excel; Pandas; Power BI; Python; Scrum,2,0,Bac,Bac,Anglais,Français; Anglais,58.0
SEO/SEA,Search Console; Keyword Research; SEM; Google Analytics,SEM; Keyword Research; Google Ads; SEO; Search Console; Google Analytics,3,5,Licence,Master,Français; Anglais,Français,95.0
Graphiste,Illustrator; Branding; InDesign; Typographie,Canva; Photoshop; Branding,4,2,Bac,Licence,Français,Français,48.8
UI/UX Designer,Photoshop; Prototypage; Adobe XD; UX Research; Figma,UX Research; Figma; Photoshop; Illustrator,4,4,Master,Licence,Anglais,Français; Anglais,70.5
UI/UX Designer,Illustrator; Figma; Photoshop; Prototypage; Adobe XD; UX Research,UX Research; Figma; Illustrator; Prototypage; Adobe XD,3,0,Master,Licence,Français,Français; Anglais,63.3
Content Manager,Analytics; Content Strategy; Canva,SEO,3,6,Licence,Master,Français,Français,45.0
UI/UX Designer,Prototypage; Photoshop; Illustrator; UX Research; Adobe XD; Figma,UX Research; Photoshop; Figma,2,4,Master,Master,Anglais; Français,Français; Anglais,72.5
Community Manager,TikTok; Copywriting; Facebook,Facebook; Instagram; Canva; TikTok; Copywriting; Analytics,1,3,Master,Licence,Français; Anglais,Français; Anglais,92.5
UI/UX Designer,Adobe XD; UX Research; Illustrator; Prototypage; Photoshop; Figma,Aucune information,3,1,Master,Master,Français,Français,31.7
Developpeur Mobile,Kotlin; Git; Java; Firebase,Git; Java; Kotlin; Dart,4,1,Master,Licence,Anglais,Français; Anglais,63.7
Graphiste,Canva; Branding; InDesign; Photoshop; Typographie,Canva; Photoshop; Illustrator; InDesign,4,6,Master,Licence,Français,Français,70.5
Developpeur Mobile,Dart; Git; Flutter,Flutter; Git; Java; Firebase,3,4,Master,Master,Anglais,Français; Anglais,81.7
Community Manager,Instagram; Facebook; TikTok; Canva; Analytics,TikTok; Copywriting; Facebook; Instagram; Analytics; JavaScript,1,2,Master,Licence,Français; Anglais,Français; Anglais,81.5
Community Manager,Analytics; Facebook; Instagram,Analytics; Instagram,2,6,Master,Master,Anglais; Français,Français,76.7
UI/UX Designer,Illustrator; UX Research; Prototypage; Figma,UX Research; Photoshop; Figma; Prototypage,4,6,Master,Bac,Français,Français; Anglais,78.8
Chef de projet digital,ClickUp; Gestion de projet; Scrum; Communication; Asana,Aucune information,4,7,Licence,Licence,Anglais,Français,35.0
Developpeur Web,JavaScript; MySQL; Git,HTML/CSS; JavaScript,3,6,Licence,Master,Anglais; Français,Français,58.3
Graphiste,Typographie; Illustrator; InDesign; Canva; Photoshop,Aucune information,1,5,Bac,Licence,Français,Français,45.0
Community Manager,Instagram; Facebook; Copywriting; TikTok; Canva,Facebook; Analytics; Instagram; Canva; Copywriting,1,5,Master,Bac,Français,Français; Anglais,81.5
Developpeur Mobile,Firebase; Git; Kotlin; Dart; Flutter; Java,Aucune information,3,6,Bac,Licence,Anglais; Français,Français; Anglais,45.0
Graphiste,Illustrator; Canva; Photoshop; Branding; Typographie; InDesign,Pandas; Prototypage,1,6,Licence,Licence,Français,Français,45.0
Chef de projet digital,Communication; Agile; Gestion de projet; Asana,Gestion de projet; Agile; ClickUp,4,6,Licence,Master,Anglais,Français,62.5
Graphiste,Canva; Typographie; Photoshop,Aucune information,3,5,Licence,Bac,Français,Français,37.5
Social Media Manager,LinkedIn; TikTok; Instagram,Instagram; TikTok; LinkedIn; Facebook; Analytics,2,5,Master,Licence,Anglais,Français,82.5
Graphiste,Typographie; Branding; Illustrator,Branding; Canva; Photoshop,4,2,Licence,Master,Français,Français,53.3
Developpeur Mobile,Kotlin; Java; Git; Firebase,Aucune information,2,3,Master,Master,Français,Français; Anglais,45.0
Graphiste,Photoshop; Illustrator; Typographie; Branding,Photoshop; Typographie; Canva; InDesign; Branding; Illustrator,1,3,Licence,Licence,Français,Français,100.0
Developpeur Mobile,Firebase; Dart; Flutter; Kotlin,Dart; Git; Search Console,2,1,Licence,Licence,Français,Français; Anglais,48.8
UI/UX Designer,UX Research; Prototypage; Illustrator,Aucune information,2,5,Bac,Master,Français; Anglais,Français; Anglais,45.0
Chef de projet digital,Scrum; Communication; Asana; ClickUp,Communication; Agile; Scrum; Asana,4,1,Licence,Master,Français,Français,71.2
SEO/SEA,Keyword Research; Google Ads; Search Console,Keyword Research; Search Console; Google Ads; SEM; SEO; Google Analytics,1,6,Master,Bac,Anglais,Français,82.5
UI/UX Designer,UX Research; Figma; Prototypage; Photoshop,Photoshop; Prototypage,3,6,Licence,Licence,Anglais,Français; Anglais,72.5
Data Analyst,SQL; Python; Power BI; Excel,Pandas; Excel; Power BI; Python,1,5,Bac,Bac,Anglais,Français,76.2
Developpeur Mobile,Kotlin; Git; Dart; Java,Dart; Kotlin; Git; Photoshop,2,3,Bac,Master,Anglais; Français,Français; Anglais,86.2
Graphiste,Illustrator; Photoshop; Branding; Typographie; Canva,InDesign; Asana,1,1,Licence,Master,Français,Français,45.0
UI/UX Designer,Figma; Illustrator; Prototypage; UX Research,Adobe XD; UX Research; Photoshop; Prototypage; Figma,4,4,Licence,Bac,Français; Anglais,Français,73.8
Developpeur Web,Git; JavaScript; PHP,Git; Laravel; PHP,4,0,Master,Master,Anglais; Français,Français,56.7
Social Media Manager,Instagram; Facebook; Meta Ads; Analytics; TikTok,Instagram; LinkedIn; Analytics,2,2,Master,Master,Français; Anglais,Français; Anglais,67.0
Developpeur Mobile,Kotlin; Firebase; Flutter; Dart; Java; Git,Flutter; Java; Firebase; Kotlin; Git,2,3,Master,Master,Anglais,Français; Anglais,90.8
Data Analyst,Pandas; SQL; Data Visualization,Pandas; SQL; Data Visualization; Power BI; Excel,3,6,Bac,Licence,Anglais,Français; Anglais,100.0
Chef de projet digital,Gestion de projet; Communication; Agile; Scrum; Asana; ClickUp,Agile; Communication; ClickUp,3,4,Master,Bac,Français,Français; Anglais,65.0
UI/UX Designer,Adobe XD; UX Research; Figma; Prototypage; Photoshop; Illustrator,Adobe XD; Figma,4,6,Licence,Master,Anglais; Français,Français; Anglais,63.3
Social Media Manager,LinkedIn; Meta Ads; Analytics; Instagram; TikTok,LinkedIn,2,2,Licence,Bac,Anglais,Français; Anglais,48.5
UI/UX Designer,UX Research; Prototypage; Photoshop; Figma,Figma; Agile,2,1,Master,Licence,Français,Français; Anglais,41.2
Data Analyst,Data Visualization; Excel; Pandas,Aucune information,2,6,Licence,Licence,Français; Anglais,Français,40.0
Social Media Manager,Facebook; Meta Ads; TikTok; LinkedIn,Analytics; Facebook,3,0,Licence,Bac,Français; Anglais,Français,26.2
Developpeur Web,JavaScript; Laravel; Git; HTML/CSS; PHP; MySQL,MySQL; Laravel; PHP; Git; JavaScript; HTML/CSS,1,3,Master,Bac,Français,Français; Anglais,92.5
Data Analyst,Data Visualization; Excel; Power BI,Python; Excel,2,4,Master,Licence,Anglais; Français,Français,50.8
Chef de projet digital,ClickUp; Asana; Scrum; Gestion de projet; Communication; Agile,Asana,2,8,Master,Licence,Français,Français; Anglais,46.7
SEO/SEA,SEO; SEM; Google Analytics,SEM,4,3,Bac,Bac,Français; Anglais,Français,53.3
Content Manager,Canva; Content Strategy; Analytics; WordPress; Copywriting,Aucune information,1,2,Bac,Licence,Anglais; Français,Français; Anglais,45.0
Developpeur Mobile,Git; Flutter; Firebase; Kotlin; Dart,Kotlin; Java; Flutter; Dart,4,1,Licence,Licence,Français; Anglais,Français; Anglais,63.0
UI/UX Designer,Photoshop; UX Research; Illustrator,Adobe XD; UX Research; Figma; Photoshop,3,4,Bac,Licence,Anglais; Français,Français,76.7
Social Media Manager,Meta Ads; Analytics; TikTok,LinkedIn; Analytics,2,1,Bac,Bac,Anglais,Français; Anglais,53.3
Graphiste,Canva; Typographie; Photoshop,InDesign; Typographie; Asana,1,4,Bac,Licence,Français,Français,63.3
Community Manager,Analytics; Facebook; Instagram,Instagram; Analytics,2,3,Master,Master,Français,Français,81.7
Developpeur Web,Git; PHP; Laravel; JavaScript; MySQL; HTML/CSS,HTML/CSS; PHP,4,6,Bac,Bac,Français; Anglais,Français,58.3
Graphiste,Typographie; InDesign; Photoshop; Canva,Illustrator; Branding,2,4,Master,Bac,Français,Français,37.5
Developpeur Mobile,Java; Flutter; Dart,Flutter; Dart; Git; Java; Kotlin,2,0,Licence,Bac,Français,Français,72.5
Graphiste,Canva; Photoshop; InDesign; Branding,InDesign; Typographie; Photoshop; Canva; Illustrator; Branding; Analytics,4,4,Bac,Master,Français,Français,100.0
Chef de projet digital,Gestion de projet; ClickUp; Asana; Scrum,Aucune information,2,7,Bac,Master,Anglais; Français,Français; Anglais,45.0
Developpeur Mobile,Dart; Git; Java,Dart; Firebase; Adobe XD,1,1,Master,Licence,Français,Français,55.8
Content Manager,Analytics; Canva; Copywriting; SEO; Content Strategy,Instagram,4,1,Master,Master,Français; Anglais,Français,25.0
Developpeur Web,Git; PHP; Laravel,JavaScript; PHP; HTML/CSS; MySQL,4,6,Master,Licence,Français; Anglais,Français,50.8
Chef de projet digital,Gestion de projet; Asana; Communication; ClickUp; Agile; Scrum,ClickUp; Communication; Gestion de projet; Agile; Asana; Scrum,4,4,Bac,Master,Anglais; Français,Français; Anglais,100.0
Community Manager,Canva; Facebook; Analytics; TikTok; Instagram; Copywriting,Canva; Copywriting,2,4,Master,Master,Anglais,Français; Anglais,63.3
Developpeur Web,JavaScript; PHP; Laravel,PHP; Git; MySQL,3,3,Licence,Licence,Anglais,Français; Anglais,63.3
Graphiste,Branding; Photoshop; Typographie; Illustrator; Canva,Aucune information,3,6,Bac,Licence,Français,Français,45.0
SEO/SEA,SEO; SEM; Search Console; Google Ads; Google Analytics,Aucune information,4,1,Licence,Licence,Anglais,Français; Anglais,30.0
Content Manager,Copywriting; Canva; SEO; Content Strategy; WordPress,Canva; SEO; WordPress; Copywriting,2,0,Licence,Master,Français; Anglais,Français; Anglais,69.0
Data Analyst,Power BI; SQL; Excel; Python; Pandas; Data Visualization,Excel; Pandas; Power BI,4,2,Master,Bac,Français; Anglais,Français; Anglais,55.0
UI/UX Designer,Adobe XD; Illustrator; Photoshop; Prototypage; UX Research; Figma,UX Research,2,2,Licence,Licence,Français; Anglais,Français; Anglais,54.2
Graphiste,InDesign; Typographie; Illustrator; Canva; Photoshop; Branding,Analytics,2,3,Bac,Master,Français,Français,45.0
Developpeur Web,Laravel; MySQL; HTML/CSS; PHP,Git; PHP; JavaScript; HTML/CSS; Laravel,3,6,Licence,Bac,Français,Français,78.8
Social Media Manager,LinkedIn; Instagram; Meta Ads,Facebook; Instagram; Analytics,1,2,Master,Licence,Anglais,Français,45.8
Graphiste,Illustrator; Typographie; Photoshop; Canva; InDesign; Branding,Branding; InDesign; Photoshop,4,3,Licence,Licence,Français,Français,67.5
UI/UX Designer,Illustrator; Photoshop; Prototypage; Figma; UX Research,Illustrator; Photoshop; Prototypage; UX Research,1,6,Master,Licence,Anglais,Français; Anglais,81.5
