poste,competences_requises,competences_candidat,experience_requise,experience_candidat,diplome_requis,diplome_candidat,langues_requises,langues_candidat,score_compatibilite,taux_competences,taux_experience,taux_diplome,taux_langues,poids_competences,poids_experience,poids_diplome,poids_langues
Content Manager,Analytics; Canva; Copywriting; WordPress; SEO; Content Strategy,WordPress; Canva; Analytics; SEO; Copywriting; Content Strategy,1,0,Bac,Master,Anglais (intermédiaire),Français (courant); Anglais (avancé),96.8,1.0,0.0,1.2,1.0,0.67,0.07,0.19,0.07
Developpeur Mobile,Flutter; Dart; Kotlin; Git; Firebase,Kotlin; Dart; Git; Firebase; Agile; Copywriting,4,5,Bac,Licence,Français (avancé),Français (courant),86.4,0.8,1.0,1.2,1.0,0.74,0.11,0.06,0.09
Developpeur Mobile,Dart; Java; Git; Firebase,Firebase; Java,3,2,Master,Licence,Anglais (débutant),Français (intermédiaire); Anglais (avancé),58.5,0.5,0.6666666666666666,0.6666666666666666,1.0,0.73,0.09,0.06,0.12
Social Media Manager,Meta Ads; Analytics; Instagram; LinkedIn,Aucune information,3,2,Licence,Master,Anglais (intermédiaire); Français (intermédiaire),Français (courant); Anglais (débutant),86.37,0.0,0.6666666666666666,1.2,0.75,0.08,0.4,0.46,0.06
Community Manager,TikTok; Instagram; Copywriting,Aucune information,3,1,Bac,Bac,Français (intermédiaire); Anglais (débutant),Français (intermédiaire); Anglais (intermédiaire),26.67,0.0,0.3333333333333333,1.0,1.0,0.68,0.08,0.18,0.06
Graphiste,InDesign; Photoshop; Canva; Typographie; Branding,Canva,1,5,Master,Master,Français (avancé),Français (courant),38.4,0.2,1.0,1.0,1.0,0.77,0.13,0.05,0.05
Developpeur Mobile,Flutter; Java; Git; Kotlin; Firebase,Dart; Java; Flutter; Firebase; Kotlin; Git,3,0,Licence,Licence,Anglais (intermédiaire); Français (intermédiaire),Français (courant); Anglais (débutant),69.5,1.0,0.0,1.0,0.75,0.6,0.29,0.05,0.06
Data Analyst,SQL; Python; Power BI; Data Visualization,SQL,1,7,Bac,Master,Anglais (débutant); Français (intermédiaire),Français (courant),61.6,0.25,1.0,1.2,0.5,0.48,0.08,0.28,0.16
Community Manager,Canva; Copywriting; Analytics,Analytics; Copywriting; Instagram,2,5,Bac,Master,Français (avancé); Anglais (intermédiaire),Français (intermédiaire); Anglais (avancé),93.53,0.6666666666666666,1.0,1.2,0.8333333333333333,0.18,0.33,0.21,0.28
SEO/SEA,Search Console; Keyword Research; SEO; SEM; Google Ads,Keyword Research; SEO,4,1,Licence,Licence,Français (courant); Anglais (courant),Français (intermédiaire); Anglais (intermédiaire),41.7,0.4,0.25,1.0,0.5,0.28,0.4,0.09,0.23
UI/UX Designer,Figma; Adobe XD; Prototypage; Photoshop; Illustrator; UX Research,Adobe XD; Photoshop; Figma; UX Research,1,0,Bac,Licence,Français (avancé),Français (avancé); Anglais (avancé),67.53,0.6666666666666666,0.0,1.2,1.0,0.68,0.11,0.06,0.15
Graphiste,Illustrator; Branding; InDesign; Canva,Branding; Typographie; Photoshop,4,0,Master,Licence,Français (courant),Français (intermédiaire),25.33,0.25,0.0,0.6666666666666666,0.5,0.38,0.32,0.05,0.25
Content Manager,WordPress; Canva; Analytics; Content Strategy; SEO,Analytics; Canva; TikTok,3,5,Master,Bac,Français (courant); Anglais (intermédiaire),Français (avancé),62.05,0.4,1.0,0.3333333333333333,0.375,0.17,0.39,0.06,0.38
Content Manager,SEO; Analytics; Canva,Canva; Analytics,1,0,Bac,Licence,Anglais (courant),Français (avancé),52.8,0.6666666666666666,0.0,1.2,0.0,0.45,0.16,0.19,0.2
Community Manager,Copywriting; TikTok; Facebook; Analytics,Instagram,3,3,Licence,Master,Anglais (intermédiaire),Français (avancé); Anglais (avancé),20.0,0.0,1.0,1.2,1.0,0.81,0.08,0.05,0.06
Content Manager,Canva; SEO; Content Strategy; Analytics,Analytics; Scrum; Power BI,3,1,Master,Bac,Anglais (avancé); Français (avancé),Français (avancé); Anglais (avancé),38.5,0.25,0.3333333333333333,0.3333333333333333,1.0,0.26,0.58,0.05,0.11
UI/UX Designer,Adobe XD; Prototypage; UX Research; Illustrator; Figma; Photoshop,Photoshop; Illustrator; Prototypage; Adobe XD; UX Research; Figma,2,0,Licence,Bac,Français (courant),Français (courant); Anglais (débutant),68.0,1.0,0.0,0.5,1.0,0.4,0.28,0.08,0.24
Community Manager,Copywriting; Instagram; Analytics; TikTok,Copywriting,1,3,Licence,Master,Anglais (avancé),Français (avancé); Anglais (intermédiaire),88.78,0.25,1.0,1.2,0.6666666666666666,0.17,0.46,0.26,0.11
SEO/SEA,SEM; Google Ads; Keyword Research; SEO; Google Analytics; Search Console,Search Console; Google Ads; Keyword Research; SEO; Google Analytics,4,3,Bac,Master,Anglais (intermédiaire); Français (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),84.48,0.8333333333333334,0.75,1.2,1.0,0.46,0.37,0.07,0.1
Chef de projet digital,ClickUp; Communication; Agile; Asana,Agile; ClickUp; Gestion de projet; Communication,4,3,Master,Master,Anglais (avancé); Français (courant),Français (avancé); Anglais (courant),78.5,0.75,0.75,1.0,0.875,0.48,0.34,0.1,0.08
SEO/SEA,Google Ads; Google Analytics; SEM,Google Analytics; Keyword Research; SEO,4,1,Licence,Licence,Anglais (avancé); Français (courant),Français (courant),40.08,0.3333333333333333,0.25,1.0,0.5,0.43,0.37,0.13,0.07
Data Analyst,SQL; Pandas; Data Visualization,Power BI,4,3,Licence,Licence,Anglais (avancé); Français (intermédiaire),Français (intermédiaire); Anglais (débutant),53.75,0.0,0.75,1.0,0.6666666666666666,0.3,0.57,0.07,0.06
UI/UX Designer,Figma; UX Research; Illustrator,Illustrator; Figma; Adobe XD; UX Research,3,5,Bac,Bac,Français (intermédiaire); Anglais (intermédiaire),Français (avancé); Anglais (débutant),98.75,1.0,1.0,1.0,0.75,0.82,0.08,0.05,0.05
Developpeur Web,MySQL; HTML/CSS; Git; Laravel; PHP; JavaScript,Aucune information,2,6,Bac,Licence,Anglais (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),47.6,0.0,1.0,1.2,1.0,0.54,0.14,0.08,0.24
Chef de projet digital,Scrum; Gestion de projet; ClickUp; Communication,Gestion de projet,4,8,Licence,Bac,Français (courant),Français (intermédiaire); Anglais (débutant),33.5,0.25,1.0,0.5,0.5,0.82,0.08,0.05,0.05
Social Media Manager,Instagram; Facebook; TikTok,Instagram; Analytics; TikTok,3,5,Bac,Master,Français (intermédiaire),Français (avancé); Anglais (courant),87.2,0.6666666666666666,1.0,1.2,1.0,0.42,0.46,0.06,0.06
Chef de projet digital,Agile; Communication; Asana; Scrum; ClickUp,Scrum; Agile; Asana,4,6,Bac,Master,Français (intermédiaire); Anglais (intermédiaire),Français (courant); Anglais (débutant),82.1,0.6,1.0,1.2,0.75,0.47,0.26,0.17,0.1
Developpeur Web,JavaScript; HTML/CSS; PHP,JavaScript; HTML/CSS,4,2,Master,Bac,Anglais (courant); Français (intermédiaire),Français (courant); Anglais (avancé),63.21,0.6666666666666666,0.5,0.3333333333333333,0.875,0.74,0.15,0.06,0.05
Chef de projet digital,Scrum; Gestion de projet; Communication; Asana; ClickUp; Agile,Agile; Scrum; ClickUp; Gestion de projet; Communication,1,8,Bac,Master,Anglais (débutant),Français (avancé); Anglais (avancé),97.93,0.8333333333333334,1.0,1.2,1.0,0.34,0.27,0.18,0.21
Community Manager,Facebook; TikTok; Copywriting; Canva; Instagram,Copywriting; Analytics; Facebook; Canva; TikTok,1,2,Bac,Master,Anglais (débutant); Français (intermédiaire),Français (courant); Anglais (intermédiaire),99.2,0.8,1.0,1.2,1.0,0.18,0.36,0.14,0.32
Developpeur Web,Git; Laravel; HTML/CSS; MySQL,HTML/CSS; MySQL; PHP; Git,3,2,Licence,Licence,Français (intermédiaire); Anglais (avancé),Français (avancé); Anglais (intermédiaire),75.92,0.75,0.6666666666666666,1.0,0.8333333333333333,0.73,0.13,0.05,0.09
Developpeur Web,Git; JavaScript; Laravel; MySQL; HTML/CSS,MySQL; PHP; HTML/CSS; Laravel; JavaScript,2,1,Master,Licence,Anglais (débutant),Français (avancé); Anglais (courant),64.43,0.8,0.5,0.6666666666666666,1.0,0.07,0.43,0.38,0.12
Data Analyst,SQL; Python; Excel; Pandas; Power BI,SQL; Data Visualization; Excel; Pandas,1,4,Licence,Licence,Anglais (courant),Français (avancé); Anglais (avancé),71.7,0.6,1.0,1.0,0.75,0.67,0.12,0.15,0.06
Data Analyst,SQL; Python; Power BI; Data Visualization,Power BI; Python; Communication; Illustrator,1,0,Bac,Master,Français (courant); Anglais (courant),Français (intermédiaire),41.6,0.5,0.0,1.2,0.25,0.26,0.28,0.18,0.28
Graphiste,InDesign; Typographie; Branding; Illustrator,Photoshop; Typographie,1,4,Licence,Master,Français (avancé),Français (courant),101.9,0.25,1.0,1.2,1.0,0.06,0.46,0.32,0.16
Data Analyst,Pandas; Excel; Data Visualization; Python; SQL,Excel; Pandas; Power BI; Python; Scrum,2,0,Bac,Bac,Anglais (avancé),Français (avancé); Anglais (courant),70.8,0.6,0.0,1.0,1.0,0.53,0.08,0.28,0.11
SEO/SEA,Search Console; Keyword Research; SEM; Google Analytics,SEM; Keyword Research; Google Ads; SEO; Search Console; Google Analytics,3,5,Licence,Master,Français (intermédiaire); Anglais (intermédiaire),Français (avancé),96.2,1.0,1.0,1.2,0.5,0.76,0.08,0.06,0.1
Graphiste,Illustrator; Branding; InDesign; Typographie,Canva; Photoshop; Branding,4,2,Bac,Licence,Français (avancé),Français (intermédiaire),59.13,0.25,0.5,1.2,0.6666666666666666,0.28,0.36,0.19,0.17
UI/UX Designer,Photoshop; Prototypage; Adobe XD; UX Research; Figma,UX Research; Figma; Photoshop; Illustrator,4,4,Master,Licence,Anglais (débutant),Français (avancé); Anglais (courant),74.8,0.6,1.0,0.6666666666666666,1.0,0.53,0.29,0.12,0.06
UI/UX Designer,Illustrator; Figma; Photoshop; Prototypage; Adobe XD; UX Research,UX Research; Figma; Illustrator; Prototypage; Adobe XD,3,0,Master,Licence,Français (courant),Français (courant); Anglais (débutant),40.67,0.8333333333333334,0.0,0.6666666666666666,1.0,0.18,0.46,0.31,0.05
Content Manager,Analytics; Content Strategy; Canva,SEO,3,6,Licence,Master,Français (intermédiaire),Français (courant),74.0,0.0,1.0,1.2,1.0,0.28,0.52,0.1,0.1
UI/UX Designer,Prototypage; Photoshop; Illustrator; UX Research; Adobe XD; Figma,UX Research; Photoshop; Figma,2,4,Master,Master,Anglais (intermédiaire); Français (courant),Français (courant); Anglais (courant),67.5,0.5,1.0,1.0,1.0,0.65,0.14,0.14,0.07
Community Manager,TikTok; Copywriting; Facebook,Facebook; Instagram; Canva; TikTok; Copywriting; Analytics,1,3,Master,Licence,Français (avancé); Anglais (avancé),Français (avancé); Anglais (avancé),84.67,1.0,1.0,0.6666666666666666,1.0,0.06,0.1,0.46,0.38
UI/UX Designer,Adobe XD; UX Research; Illustrator; Prototypage; Photoshop; Figma,Aucune information,3,1,Master,Master,Français (intermédiaire),Français (courant),20.67,0.0,0.3333333333333333,1.0,1.0,0.76,0.05,0.06,0.13
Developpeur Mobile,Kotlin; Git; Java; Firebase,Git; Java; Kotlin; Dart,4,1,Master,Licence,Anglais (courant),Français (courant); Anglais (avancé),60.08,0.75,0.25,0.6666666666666666,0.75,0.6,0.29,0.05,0.06
Graphiste,Canva; Branding; InDesign; Photoshop; Typographie,Canva; Photoshop; Illustrator; InDesign,4,6,Master,Licence,Français (avancé),Français (courant),67.53,0.6,1.0,0.6666666666666666,1.0,0.77,0.08,0.05,0.1
Developpeur Mobile,Dart; Git; Flutter,Flutter; Git; Java; Firebase,3,4,Master,Master,Anglais (courant),Français (intermédiaire); Anglais (intermédiaire),69.83,0.6666666666666666,1.0,1.0,0.5,0.23,0.22,0.1,0.45
Community Manager,Instagram; Facebook; TikTok; Canva; Analytics,TikTok; Copywriting; Facebook; Instagram; Analytics; JavaScript,1,2,Master,Licence,Français (courant); Anglais (avancé),Français (intermédiaire); Anglais (avancé),80.97,0.8,1.0,0.6666666666666666,0.75,0.66,0.14,0.1,0.1
Community Manager,Analytics; Facebook; Instagram,Analytics; Instagram,2,6,Master,Master,Anglais (courant); Français (courant),Français (avancé),68.67,0.6666666666666666,1.0,1.0,0.375,0.79,0.06,0.07,0.08
UI/UX Designer,Illustrator; UX Research; Prototypage; Figma,UX Research; Photoshop; Figma; Prototypage,4,6,Master,Bac,Français (intermédiaire),Français (intermédiaire); Anglais (courant),80.17,0.75,1.0,0.3333333333333333,1.0,0.66,0.15,0.05,0.14
Chef de projet digital,ClickUp; Gestion de projet; Scrum; Communication; Asana,Aucune information,4,7,Licence,Licence,Anglais (avancé),Français (courant),70.0,0.0,1.0,1.0,0.0,0.18,0.34,0.36,0.12
Developpeur Web,JavaScript; MySQL; Git,HTML/CSS; JavaScript,3,6,Licence,Master,Anglais (avancé); Français (avancé),Français (avancé),77.03,0.3333333333333333,1.0,1.2,0.5,0.37,0.09,0.41,0.13
Graphiste,Typographie; Illustrator; InDesign; Canva; Photoshop,Aucune information,1,5,Bac,Licence,Français (courant),Français (avancé),43.1,0.0,1.0,1.2,0.75,0.58,0.23,0.13,0.06
Community Manager,Instagram; Facebook; Copywriting; TikTok; Canva,Facebook; Analytics; Instagram; Canva; Copywriting,1,5,Master,Bac,Français (courant),Français (intermédiaire); Anglais (avancé),59.83,0.8,1.0,0.3333333333333333,0.5,0.15,0.27,0.49,0.09
Developpeur Mobile,Firebase; Git; Kotlin; Dart; Flutter; Java,Aucune information,3,6,Bac,Licence,Anglais (intermédiaire); Français (courant),Français (avancé); Anglais (intermédiaire),52.7,0.0,1.0,1.2,0.875,0.46,0.15,0.11,0.28
Graphiste,Illustrator; Canva; Photoshop; Branding; Typographie; InDesign,Pandas; Prototypage,1,6,Licence,Licence,Français (intermédiaire),Français (avancé),44.0,0.0,1.0,1.0,1.0,0.56,0.28,0.11,0.05
Chef de projet digital,Communication; Agile; Gestion de projet; Asana,Gestion de projet; Agile; ClickUp,4,6,Licence,Master,Anglais (avancé),Français (avancé),59.5,0.5,1.0,1.2,0.0,0.67,0.08,0.15,0.1
Graphiste,Canva; Typographie; Photoshop,Aucune information,3,5,Licence,Bac,Français (intermédiaire),Français (intermédiaire),30.0,0.0,1.0,0.5,1.0,0.59,0.13,0.22,0.06
Social Media Manager,LinkedIn; TikTok; Instagram,Instagram; TikTok; LinkedIn; Facebook; Analytics,2,5,Master,Licence,Anglais (débutant),Français (avancé),93.33,1.0,1.0,0.6666666666666666,0.0,0.83,0.07,0.05,0.05
Graphiste,Typographie; Branding; Illustrator,Branding; Canva; Photoshop,4,2,Licence,Master,Français (avancé),Français (intermédiaire),42.87,0.3333333333333333,0.5,1.2,0.6666666666666666,0.74,0.14,0.06,0.06
Developpeur Mobile,Kotlin; Java; Git; Firebase,Aucune information,2,3,Master,Master,Français (avancé),Français (intermédiaire); Anglais (courant),74.67,0.0,1.0,1.0,0.6666666666666666,0.14,0.08,0.44,0.34
Graphiste,Photoshop; Illustrator; Typographie; Branding,Photoshop; Typographie; Canva; InDesign; Branding; Illustrator,1,3,Licence,Licence,Français (courant),Français (intermédiaire),87.5,1.0,1.0,1.0,0.5,0.11,0.44,0.2,0.25
Developpeur Mobile,Firebase; Dart; Flutter; Kotlin,Dart; Git; Search Console,2,1,Licence,Licence,Français (courant),Français (courant); Anglais (débutant),64.25,0.25,0.5,1.0,1.0,0.31,0.25,0.36,0.08
UI/UX Designer,UX Research; Prototypage; Illustrator,Aucune information,2,5,Bac,Master,Français (intermédiaire); Anglais (courant),Français (intermédiaire); Anglais (débutant),62.25,0.0,1.0,1.2,0.625,0.29,0.4,0.05,0.26
Chef de projet digital,Scrum; Communication; Asana; ClickUp,Communication; Agile; Scrum; Asana,4,1,Licence,Master,Français (courant),Français (avancé),76.95,0.75,0.25,1.2,0.75,0.59,0.15,0.21,0.05
SEO/SEA,Keyword Research; Google Ads; Search Console,Keyword Research; Search Console; Google Ads; SEM; SEO; Google Analytics,1,6,Master,Bac,Anglais (intermédiaire),Français (avancé),60.67,1.0,1.0,0.3333333333333333,0.0,0.23,0.31,0.2,0.26
UI/UX Designer,UX Research; Figma; Prototypage; Photoshop,Photoshop; Prototypage,3,6,Licence,Licence,Anglais (intermédiaire),Français (courant); Anglais (avancé),92.5,0.5,1.0,1.0,1.0,0.15,0.58,0.17,0.1
Data Analyst,SQL; Python; Power BI; Excel,Pandas; Excel; Power BI; Python,1,5,Bac,Bac,Anglais (intermédiaire),Français (intermédiaire),79.5,0.75,1.0,1.0,0.0,0.54,0.15,0.24,0.07
Developpeur Mobile,Kotlin; Git; Dart; Java,Dart; Kotlin; Git; Photoshop,2,3,Bac,Master,Anglais (intermédiaire); Français (avancé),Français (avancé); Anglais (intermédiaire),106.1,0.75,1.0,1.2,1.0,0.06,0.37,0.38,0.19
Graphiste,Illustrator; Photoshop; Branding; Typographie; Canva,InDesign; Asana,1,1,Licence,Master,Français (intermédiaire),Français (intermédiaire),37.0,0.0,1.0,1.2,1.0,0.64,0.19,0.05,0.12
UI/UX Designer,Figma; Illustrator; Prototypage; UX Research,Adobe XD; UX Research; Photoshop; Prototypage; Figma,4,4,Licence,Bac,Français (intermédiaire); Anglais (intermédiaire),Français (courant),74.75,0.75,1.0,0.5,0.5,0.77,0.11,0.06,0.06
Developpeur Web,Git; JavaScript; PHP,Git; Laravel; PHP,4,0,Master,Master,Anglais (intermédiaire); Français (avancé),Français (intermédiaire),67.33,0.6666666666666666,0.0,1.0,0.3333333333333333,0.23,0.13,0.46,0.18
Social Media Manager,Instagram; Facebook; Meta Ads; Analytics; TikTok,Instagram; LinkedIn; Analytics,2,2,Master,Master,Français (courant); Anglais (intermédiaire),Français (courant); Anglais (débutant),47.75,0.4,1.0,1.0,0.75,0.85,0.05,0.05,0.05
Developpeur Mobile,Kotlin; Firebase; Flutter; Dart; Java; Git,Flutter; Java; Firebase; Kotlin; Git,2,3,Master,Master,Anglais (avancé),Français (courant); Anglais (débutant),79.33,0.8333333333333334,1.0,1.0,0.3333333333333333,0.76,0.07,0.05,0.12
Data Analyst,Pandas; SQL; Data Visualization,Pandas; SQL; Data Visualization; Power BI; Excel,3,6,Bac,Licence,Anglais (avancé),Français (intermédiaire); Anglais (avancé),102.4,1.0,1.0,1.2,1.0,0.25,0.16,0.12,0.47
Chef de projet digital,Gestion de projet; Communication; Agile; Scrum; Asana; ClickUp,Agile; Communication; ClickUp,3,4,Master,Bac,Français (avancé),Français (avancé); Anglais (avancé),57.5,0.5,1.0,0.3333333333333333,1.0,0.37,0.09,0.36,0.18
UI/UX Designer,Adobe XD; UX Research; Figma; Prototypage; Photoshop; Illustrator,Adobe XD; Figma,4,6,Licence,Master,Anglais (courant); Français (avancé),Français (intermédiaire); Anglais (intermédiaire),63.53,0.3333333333333333,1.0,1.2,0.5833333333333333,0.37,0.11,0.16,0.36
Social Media Manager,LinkedIn; Meta Ads; Analytics; Instagram; TikTok,LinkedIn,2,2,Licence,Bac,Anglais (intermédiaire),Français (courant); Anglais (intermédiaire),37.6,0.2,1.0,0.5,1.0,0.73,0.14,0.08,0.05
UI/UX Designer,UX Research; Prototypage; Photoshop; Figma,Figma; Agile,2,1,Master,Licence,Français (courant),Français (courant); Anglais (courant),57.5,0.25,0.5,0.6666666666666666,1.0,0.14,0.56,0.12,0.18
Data Analyst,Data Visualization; Excel; Pandas,Aucune information,2,6,Licence,Licence,Français (avancé); Anglais (intermédiaire),Français (avancé),39.5,0.0,1.0,1.0,0.5,0.51,0.11,0.19,0.19
Social Media Manager,Facebook; Meta Ads; TikTok; LinkedIn,Analytics; Facebook,3,0,Licence,Bac,Français (avancé); Anglais (intermédiaire),Français (avancé),33.75,0.25,0.0,0.5,0.5,0.37,0.14,0.15,0.34
Developpeur Web,JavaScript; Laravel; Git; HTML/CSS; PHP; MySQL,MySQL; Laravel; PHP; Git; JavaScript; HTML/CSS,1,3,Master,Bac,Français (courant),Français (intermédiaire); Anglais (courant),64.17,1.0,1.0,0.3333333333333333,0.5,0.28,0.08,0.23,0.41
Data Analyst,Data Visualization; Excel; Power BI,Python; Excel,2,4,Master,Licence,Anglais (avancé); Français (intermédiaire),Français (courant),54.83,0.3333333333333333,1.0,0.6666666666666666,0.5,0.5,0.23,0.1,0.17
Chef de projet digital,ClickUp; Asana; Scrum; Gestion de projet; Communication; Agile,Asana,2,8,Master,Licence,Français (courant),Français (courant); Anglais (avancé),50.33,0.16666666666666666,1.0,0.6666666666666666,1.0,0.52,0.12,0.19,0.17
SEO/SEA,SEO; SEM; Google Analytics,SEM,4,3,Bac,Bac,Français (courant); Anglais (intermédiaire),Français (intermédiaire),56.83,0.3333333333333333,0.75,1.0,0.25,0.19,0.5,0.07,0.24
Content Manager,Canva; Content Strategy; Analytics; WordPress; Copywriting,Aucune information,1,2,Bac,Licence,Anglais (avancé); Français (intermédiaire),Français (courant); Anglais (débutant),19.33,0.0,1.0,1.2,0.6666666666666666,0.8,0.1,0.05,0.05
Developpeur Mobile,Git; Flutter; Firebase; Kotlin; Dart,Kotlin; Java; Flutter; Dart,4,1,Licence,Licence,Français (avancé); Anglais (débutant),Français (intermédiaire); Anglais (débutant),55.82,0.6,0.25,1.0,0.8333333333333333,0.69,0.21,0.05,0.05
UI/UX Designer,Photoshop; UX Research; Illustrator,Adobe XD; UX Research; Figma; Photoshop,3,4,Bac,Licence,Anglais (intermédiaire); Français (intermédiaire),Français (courant),91.77,0.6666666666666666,1.0,1.2,0.5,0.22,0.65,0.08,0.05
Social Media Manager,Meta Ads; Analytics; TikTok,LinkedIn; Analytics,2,1,Bac,Bac,Anglais (intermédiaire),Français (courant); Anglais (courant),49.5,0.3333333333333333,0.5,1.0,1.0,0.42,0.45,0.08,0.05
Graphiste,Canva; Typographie; Photoshop,InDesign; Typographie; Asana,1,4,Bac,Licence,Français (avancé),Français (courant),67.6,0.3333333333333333,1.0,1.2,1.0,0.51,0.36,0.08,0.05
Community Manager,Analytics; Facebook; Instagram,Instagram; Analytics,2,3,Master,Master,Français (intermédiaire),Français (avancé),77.0,0.6666666666666666,1.0,1.0,1.0,0.69,0.06,0.12,0.13
Developpeur Web,Git; PHP; Laravel; JavaScript; MySQL; HTML/CSS,HTML/CSS; PHP,4,6,Bac,Bac,Français (avancé); Anglais (courant),Français (avancé),57.83,0.3333333333333333,1.0,1.0,0.5,0.25,0.19,0.05,0.51
Graphiste,Typographie; InDesign; Photoshop; Canva,Illustrator; Branding,2,4,Master,Bac,Français (courant),Français (courant),20.33,0.0,1.0,0.3333333333333333,1.0,0.75,0.13,0.07,0.05
Developpeur Mobile,Java; Flutter; Dart,Flutter; Dart; Git; Java; Kotlin,2,0,Licence,Bac,Français (avancé),Français (courant),87.0,1.0,0.0,0.5,1.0,0.62,0.05,0.16,0.17
Graphiste,Canva; Photoshop; InDesign; Branding,InDesign; Typographie; Photoshop; Canva; Illustrator; Branding; Analytics,4,4,Bac,Master,Français (intermédiaire),Français (avancé),101.0,1.0,1.0,1.2,1.0,0.61,0.29,0.05,0.05
Chef de projet digital,Gestion de projet; ClickUp; Asana; Scrum,Aucune information,2,7,Bac,Master,Anglais (intermédiaire); Français (avancé),Français (courant); Anglais (débutant),17.75,0.0,1.0,1.2,0.75,0.82,0.08,0.05,0.05
Developpeur Mobile,Dart; Git; Java,Dart; Firebase; Adobe XD,1,1,Master,Licence,Français (intermédiaire),Français (avancé),51.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.71,0.18,0.05,0.06
Content Manager,Analytics; Canva; Copywriting; SEO; Content Strategy,Instagram,4,1,Master,Master,Français (intermédiaire); Anglais (avancé),Français (avancé),12.25,0.0,0.25,1.0,0.5,0.8,0.07,0.08,0.05
Developpeur Web,Git; PHP; Laravel,JavaScript; PHP; HTML/CSS; MySQL,4,6,Master,Licence,Français (intermédiaire); Anglais (courant),Français (avancé),44.83,0.3333333333333333,1.0,0.6666666666666666,0.5,0.58,0.06,0.09,0.27
Chef de projet digital,Gestion de projet; Asana; Communication; ClickUp; Agile; Scrum,ClickUp; Communication; Gestion de projet; Agile; Asana; Scrum,4,4,Bac,Master,Anglais (courant); Français (courant),Français (avancé); Anglais (avancé),99.35,1.0,1.0,1.2,0.75,0.75,0.08,0.08,0.09
Community Manager,Canva; Facebook; Analytics; TikTok; Instagram; Copywriting,Canva; Copywriting,2,4,Master,Master,Anglais (intermédiaire),Français (avancé); Anglais (courant),61.33,0.3333333333333333,1.0,1.0,1.0,0.58,0.18,0.13,0.11
Developpeur Web,JavaScript; PHP; Laravel,PHP; Git; MySQL,3,3,Licence,Licence,Anglais (débutant),Français (intermédiaire); Anglais (courant),59.33,0.3333333333333333,1.0,1.0,1.0,0.61,0.09,0.08,0.22
Graphiste,Branding; Photoshop; Typographie; Illustrator; Canva,Aucune information,3,6,Bac,Licence,Français (avancé),Français (intermédiaire),20.07,0.0,1.0,1.2,0.6666666666666666,0.79,0.07,0.07,0.07
SEO/SEA,SEO; SEM; Search Console; Google Ads; Google Analytics,Aucune information,4,1,Licence,Licence,Anglais (avancé),Français (avancé); Anglais (intermédiaire),23.92,0.0,0.25,1.0,0.6666666666666666,0.68,0.05,0.14,0.13
Content Manager,Copywriting; Canva; SEO; Content Strategy; WordPress,Canva; SEO; WordPress; Copywriting,2,0,Licence,Master,Français (intermédiaire); Anglais (débutant),Français (avancé); Anglais (débutant),75.0,0.8,0.0,1.2,1.0,0.8,0.1,0.05,0.05
Data Analyst,Power BI; SQL; Excel; Python; Pandas; Data Visualization,Excel; Pandas; Power BI,4,2,Master,Bac,Français (avancé); Anglais (avancé),Français (courant); Anglais (débutant),44.17,0.5,0.5,0.3333333333333333,0.6666666666666666,0.18,0.17,0.5,0.15
UI/UX Designer,Adobe XD; Illustrator; Photoshop; Prototypage; UX Research; Figma,UX Research,2,2,Licence,Licence,Français (intermédiaire); Anglais (intermédiaire),Français (intermédiaire); Anglais (avancé),80.83,0.16666666666666666,1.0,1.0,1.0,0.23,0.66,0.05,0.06
Graphiste,InDesign; Typographie; Illustrator; Canva; Photoshop; Branding,Analytics,2,3,Bac,Master,Français (courant),Français (intermédiaire),30.7,0.0,1.0,1.2,0.5,0.62,0.15,0.06,0.17
Developpeur Web,Laravel; MySQL; HTML/CSS; PHP,Git; PHP; JavaScript; HTML/CSS; Laravel,3,6,Licence,Bac,Français (avancé),Français (courant),91.25,0.75,1.0,0.5,1.0,0.19,0.22,0.08,0.51
Social Media Manager,LinkedIn; Instagram; Meta Ads,Facebook; Instagram; Analytics,1,2,Master,Licence,Anglais (courant),Français (courant),16.67,0.3333333333333333,1.0,0.6666666666666666,0.0,0.13,0.09,0.05,0.73
Graphiste,Illustrator; Typographie; Photoshop; Canva; InDesign; Branding,Branding; InDesign; Photoshop,4,3,Licence,Licence,Français (avancé),Français (courant),60.5,0.5,0.75,1.0,1.0,0.74,0.1,0.09,0.07
UI/UX Designer,Illustrator; Photoshop; Prototypage; Figma; UX Research,Illustrator; Photoshop; Prototypage; UX Research,1,6,Master,Licence,Anglais (avancé),Français (avancé); Anglais (intermédiaire),73.2,0.8,1.0,0.6666666666666666,0.6666666666666666,0.14,0.14,0.28,0.44
Community Manager,Facebook; Instagram; TikTok; Analytics; Canva,Facebook; Canva,4,3,Master,Licence,Anglais (avancé); Français (intermédiaire),Français (courant),61.78,0.4,0.75,0.6666666666666666,0.5,0.13,0.07,0.68,0.12
UI/UX Designer,Prototypage; Figma; Photoshop; Adobe XD; Illustrator,UX Research; Adobe XD; Illustrator; Photoshop; Figma,4,5,Master,Licence,Français (intermédiaire),Français (courant); Anglais (débutant),86.73,0.8,1.0,0.6666666666666666,1.0,0.53,0.05,0.08,0.34
