poste,competences_requises,competences_candidat,experience_requise,experience_candidat,diplome_requis,diplome_candidat,langues_requises,langues_candidat,score_compatibilite
Developpeur Web,HTML/CSS; Laravel; MySQL; Git,Search Console,1,0,Bac,Bac,Anglais (intermédiaire),Français (intermédiaire),15.0
Developpeur Mobile,Firebase; Java; Dart,Kotlin,1,5,Master,Bac,Anglais (intermédiaire); Français (intermédiaire),Français (courant); Anglais (intermédiaire),37.5
Developpeur Web,MySQL; Git; JavaScript; HTML/CSS; Laravel,HTML/CSS; JavaScript; Git; MySQL; Laravel,4,3,Bac,Master,Anglais (courant),Français (avancé); Anglais (avancé),95.0
Community Manager,Canva; TikTok; Instagram; Analytics; Facebook,Canva; Copywriting; WordPress,1,3,Master,Licence,Anglais (courant),Français (intermédiaire); Anglais (courant),48.5
Community Manager,Facebook; Copywriting; TikTok; Analytics,Analytics,4,3,Master,Licence,Anglais (avancé); Français (courant),Français (avancé); Anglais (avancé),46.2
Graphiste,InDesign; Branding; Typographie; Illustrator; Photoshop,Aucune information,1,4,Bac,Licence,Français (courant),Français (avancé),45.0
Content Manager,SEO; Copywriting; WordPress; Canva; Content Strategy; Analytics,Canva; WordPress; SEO; Content Strategy; Copywriting,2,2,Bac,Licence,Anglais (débutant); Français (courant),Français (avancé); Anglais (débutant),90.8
Chef de projet digital,Asana; Agile; Scrum,Scrum,1,4,Licence,Licence,Français (intermédiaire); Anglais (intermédiaire),Français (intermédiaire),58.3
Graphiste,Canva; Illustrator; Photoshop; Typographie; Branding; InDesign,Illustrator; Photoshop,2,4,Licence,Master,Français (courant),Français (courant),63.3
Chef de projet digital,Scrum; Asana; Agile; Gestion de projet; ClickUp,Asana,1,6,Bac,Bac,Anglais (avancé); Français (avancé),Français (courant); Anglais (intermédiaire),56.0
Chef de projet digital,Asana; Agile; Scrum; Gestion de projet,Communication; Scrum,4,1,Bac,Bac,Français (courant); Anglais (intermédiaire),Français (courant); Anglais (avancé),43.8
Social Media Manager,Analytics; Instagram; Facebook; TikTok; Meta Ads; LinkedIn,LinkedIn; Meta Ads; TikTok; Analytics; Instagram,2,4,Licence,Licence,Anglais (courant),Français (intermédiaire); Anglais (intermédiaire),90.8
Content Manager,WordPress; Content Strategy; SEO; Canva,Analytics; Content Strategy; Canva; Copywriting; WordPress; SEO,3,2,Licence,Master,Anglais (courant); Français (courant),Français (avancé); Anglais (débutant),93.3
Data Analyst,SQL; Pandas; Power BI; Excel; Python; Data Visualization,Data Visualization; Python; Pandas; Power BI,3,3,Licence,Bac,Français (avancé); Anglais (débutant),Français (courant); Anglais (intermédiaire),74.2
Content Manager,Analytics; Canva; Copywriting; WordPress; SEO; Content Strategy,WordPress; Canva; Analytics; SEO; Copywriting; Content Strategy,1,0,Bac,Master,Anglais (intermédiaire),Français (courant); Anglais (avancé),80.0
Developpeur Mobile,Flutter; Dart; Kotlin; Git; Firebase,Kotlin; Dart; Git; Firebase; Agile; Copywriting,4,5,Bac,Licence,Français (avancé),Français (courant),89.0
Developpeur Mobile,Dart; Java; Git; Firebase,Firebase; Java,3,2,Master,Licence,Anglais (débutant),Français (intermédiaire); Anglais (avancé),58.3
Social Media Manager,Meta Ads; Analytics; Instagram; LinkedIn,Aucune information,3,2,Licence,Master,Anglais (intermédiaire); Français (intermédiaire),Français (courant); Anglais (débutant),38.3
Community Manager,TikTok; Instagram; Copywriting,Aucune information,3,1,Bac,Bac,Français (intermédiaire); Anglais (débutant),Français (intermédiaire); Anglais (intermédiaire),31.7
Graphiste,InDesign; Photoshop; Canva; Typographie; Branding,Canva,1,5,Master,Master,Français (avancé),Français (courant),56.0
Developpeur Mobile,Flutter; Java; Git; Kotlin; Firebase,Dart; Java; Flutter; Firebase; Kotlin; Git,3,0,Licence,Licence,Anglais (intermédiaire); Français (intermédiaire),Français (courant); Anglais (débutant),80.0
Data Analyst,SQL; Python; Power BI; Data Visualization,SQL,1,7,Bac,Master,Anglais (débutant); Français (intermédiaire),Français (courant),53.8
Community Manager,Canva; Copywriting; Analytics,Analytics; Copywriting; Instagram,2,5,Bac,Master,Français (avancé); Anglais (intermédiaire),Français (intermédiaire); Anglais (avancé),81.7
SEO/SEA,Search Console; Keyword Research; SEO; SEM; Google Ads,Keyword Research; SEO,4,1,Licence,Licence,Français (courant); Anglais (courant),Français (intermédiaire); Anglais (intermédiaire),52.0
UI/UX Designer,Figma; Adobe XD; Prototypage; Photoshop; Illustrator; UX Research,Adobe XD; Photoshop; Figma; UX Research,1,0,Bac,Licence,Français (avancé),Français (avancé); Anglais (avancé),61.7
Graphiste,Illustrator; Branding; InDesign; Canva,Branding; Typographie; Photoshop,4,0,Master,Licence,Français (courant),Français (intermédiaire),31.2
Content Manager,WordPress; Canva; Analytics; Content Strategy; SEO,Analytics; Canva; TikTok,3,5,Master,Bac,Français (courant); Anglais (intermédiaire),Français (avancé),54.5
Content Manager,SEO; Analytics; Canva,Canva; Analytics,1,0,Bac,Licence,Anglais (courant),Français (avancé),51.7
Community Manager,Copywriting; TikTok; Facebook; Analytics,Instagram,3,3,Licence,Master,Anglais (intermédiaire),Français (avancé); Anglais (avancé),45.0
Content Manager,Canva; SEO; Content Strategy; Analytics,Analytics; Scrum; Power BI,3,1,Master,Bac,Anglais (avancé); Français (avancé),Français (avancé); Anglais (avancé),37.9
UI/UX Designer,Adobe XD; Prototypage; UX Research; Illustrator; Figma; Photoshop,Photoshop; Illustrator; Prototypage; Adobe XD; UX Research; Figma,2,0,Licence,Bac,Français (courant),Français (courant); Anglais (débutant),72.5
Community Manager,Copywriting; Instagram; Analytics; TikTok,Copywriting,1,3,Licence,Master,Anglais (avancé),Français (avancé); Anglais (intermédiaire),58.8
SEO/SEA,SEM; Google Ads; Keyword Research; SEO; Google Analytics; Search Console,Search Console; Google Ads; Keyword Research; SEO; Google Analytics,4,3,Bac,Master,Anglais (intermédiaire); Français (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),85.8
Chef de projet digital,ClickUp; Communication; Agile; Asana,Agile; ClickUp; Gestion de projet; Communication,4,3,Master,Master,Anglais (avancé); Français (courant),Français (avancé); Anglais (courant),81.2
SEO/SEA,Google Ads; Google Analytics; SEM,Google Analytics; Keyword Research; SEO,4,1,Licence,Licence,Anglais (avancé); Français (courant),Français (courant),43.3
Data Analyst,SQL; Pandas; Data Visualization,Power BI,4,3,Licence,Licence,Anglais (avancé); Français (intermédiaire),Français (intermédiaire); Anglais (débutant),40.0
UI/UX Designer,Figma; UX Research; Illustrator,Illustrator; Figma; Adobe XD; UX Research,3,5,Bac,Bac,Français (intermédiaire); Anglais (intermédiaire),Français (avancé); Anglais (débutant),100.0
Developpeur Web,MySQL; HTML/CSS; Git; Laravel; PHP; JavaScript,Aucune information,2,6,Bac,Licence,Anglais (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),45.0
Chef de projet digital,Scrum; Gestion de projet; ClickUp; Communication,Gestion de projet,4,8,Licence,Bac,Français (courant),Français (intermédiaire); Anglais (débutant),51.3
Social Media Manager,Instagram; Facebook; TikTok,Instagram; Analytics; TikTok,3,5,Bac,Master,Français (intermédiaire),Français (avancé); Anglais (courant),81.7
Chef de projet digital,Agile; Communication; Asana; Scrum; ClickUp,Scrum; Agile; Asana,4,6,Bac,Master,Français (intermédiaire); Anglais (intermédiaire),Français (courant); Anglais (débutant),78.0
Developpeur Web,JavaScript; HTML/CSS; PHP,JavaScript; HTML/CSS,4,2,Master,Bac,Anglais (courant); Français (intermédiaire),Français (courant); Anglais (avancé),64.2
Chef de projet digital,Scrum; Gestion de projet; Communication; Asana; ClickUp; Agile,Agile; Scrum; ClickUp; Gestion de projet; Communication,1,8,Bac,Master,Anglais (débutant),Français (avancé); Anglais (avancé),90.8
Community Manager,Facebook; TikTok; Copywriting; Canva; Instagram,Copywriting; Analytics; Facebook; Canva; TikTok,1,2,Bac,Master,Anglais (débutant); Français (intermédiaire),Français (courant); Anglais (intermédiaire),89.0
Developpeur Web,Git; Laravel; HTML/CSS; MySQL,HTML/CSS; MySQL; PHP; Git,3,2,Licence,Licence,Français (intermédiaire); Anglais (avancé),Français (avancé); Anglais (intermédiaire),79.6
Developpeur Web,Git; JavaScript; Laravel; MySQL; HTML/CSS,MySQL; PHP; HTML/CSS; Laravel; JavaScript,2,1,Master,Licence,Anglais (débutant),Français (avancé); Anglais (courant),71.5
Data Analyst,SQL; Python; Excel; Pandas; Power BI,SQL; Data Visualization; Excel; Pandas,1,4,Licence,Licence,Anglais (courant),Français (avancé); Anglais (avancé),78.0
Data Analyst,SQL; Python; Power BI; Data Visualization,Power BI; Python; Communication; Illustrator,1,0,Bac,Master,Français (courant); Anglais (courant),Français (intermédiaire),47.5
Graphiste,InDesign; Typographie; Branding; Illustrator,Photoshop; Typographie,1,4,Licence,Master,Français (avancé),Français (courant),58.8
Data Analyst,Pandas; Excel; Data Visualization; Python; SQL,Excel; Pandas; Power BI; Python; Scrum,2,0,Bac,Bac,Anglais (avancé),Français (avancé); Anglais (courant),58.0
SEO/SEA,Search Console; Keyword Research; SEM; Google Analytics,SEM; Keyword Research; Google Ads; SEO; Search Console; Google Analytics,3,5,Licence,Master,Français (intermédiaire); Anglais (intermédiaire),Français (avancé),95.0
Graphiste,Illustrator; Branding; InDesign; Typographie,Canva; Photoshop; Branding,4,2,Bac,Licence,Français (avancé),Français (intermédiaire),48.8
UI/UX Designer,Photoshop; Prototypage; Adobe XD; UX Research; Figma,UX Research; Figma; Photoshop; Illustrator,4,4,Master,Licence,Anglais (débutant),Français (avancé); Anglais (courant),70.5
UI/UX Designer,Illustrator; Figma; Photoshop; Prototypage; Adobe XD; UX Research,UX Research; Figma; Illustrator; Prototypage; Adobe XD,3,0,Master,Licence,Français (courant),Français (courant); Anglais (débutant),63.3
Content Manager,Analytics; Content Strategy; Canva,SEO,3,6,Licence,Master,Français (intermédiaire),Français (courant),45.0
UI/UX Designer,Prototypage; Photoshop; Illustrator; UX Research; Adobe XD; Figma,UX Research; Photoshop; Figma,2,4,Master,Master,Anglais (intermédiaire); Français (courant),Français (courant); Anglais (courant),72.5
Community Manager,TikTok; Copywriting; Facebook,Facebook; Instagram; Canva; TikTok; Copywriting; Analytics,1,3,Master,Licence,Français (avancé); Anglais (avancé),Français (avancé); Anglais (avancé),92.5
UI/UX Designer,Adobe XD; UX Research; Illustrator; Prototypage; Photoshop; Figma,Aucune information,3,1,Master,Master,Français (intermédiaire),Français (courant),31.7
Developpeur Mobile,Kotlin; Git; Java; Firebase,Git; Java; Kotlin; Dart,4,1,Master,Licence,Anglais (courant),Français (courant); Anglais (avancé),63.7
Graphiste,Canva; Branding; InDesign; Photoshop; Typographie,Canva; Photoshop; Illustrator; InDesign,4,6,Master,Licence,Français (avancé),Français (courant),70.5
Developpeur Mobile,Dart; Git; Flutter,Flutter; Git; Java; Firebase,3,4,Master,Master,Anglais (courant),Français (intermédiaire); Anglais (intermédiaire),81.7
Community Manager,Instagram; Facebook; TikTok; Canva; Analytics,TikTok; Copywriting; Facebook; Instagram; Analytics; JavaScript,1,2,Master,Licence,Français (courant); Anglais (avancé),Français (intermédiaire); Anglais (avancé),81.5
Community Manager,Analytics; Facebook; Instagram,Analytics; Instagram,2,6,Master,Master,Anglais (courant); Français (courant),Français (avancé),76.7
UI/UX Designer,Illustrator; UX Research; Prototypage; Figma,UX Research; Photoshop; Figma; Prototypage,4,6,Master,Bac,Français (intermédiaire),Français (intermédiaire); Anglais (courant),78.8
Chef de projet digital,ClickUp; Gestion de projet; Scrum; Communication; Asana,Aucune information,4,7,Licence,Licence,Anglais (avancé),Français (courant),35.0
Developpeur Web,JavaScript; MySQL; Git,HTML/CSS; JavaScript,3,6,Licence,Master,Anglais (avancé); Français (avancé),Français (avancé),58.3
Graphiste,Typographie; Illustrator; InDesign; Canva; Photoshop,Aucune information,1,5,Bac,Licence,Français (courant),Français (avancé),45.0
Community Manager,Instagram; Facebook; Copywriting; TikTok; Canva,Facebook; Analytics; Instagram; Canva; Copywriting,1,5,Master,Bac,Français (courant),Français (intermédiaire); Anglais (avancé),81.5
Developpeur Mobile,Firebase; Git; Kotlin; Dart; Flutter; Java,Aucune information,3,6,Bac,Licence,Anglais (intermédiaire); Français (courant),Français (avancé); Anglais (intermédiaire),45.0
Graphiste,Illustrator; Canva; Photoshop; Branding; Typographie; InDesign,Pandas; Prototypage,1,6,Licence,Licence,Français (intermédiaire),Français (avancé),45.0
Chef de projet digital,Communication; Agile; Gestion de projet; Asana,Gestion de projet; Agile; ClickUp,4,6,Licence,Master,Anglais (avancé),Français (avancé),62.5
Graphiste,Canva; Typographie; Photoshop,Aucune information,3,5,Licence,Bac,Français (intermédiaire),Français (intermédiaire),37.5
Social Media Manager,LinkedIn; TikTok; Instagram,Instagram; TikTok; LinkedIn; Facebook; Analytics,2,5,Master,Licence,Anglais (débutant),Français (avancé),82.5
Graphiste,Typographie; Branding; Illustrator,Branding; Canva; Photoshop,4,2,Licence,Master,Français (avancé),Français (intermédiaire),53.3
Developpeur Mobile,Kotlin; Java; Git; Firebase,Aucune information,2,3,Master,Master,Français (avancé),Français (intermédiaire); Anglais (courant),45.0
Graphiste,Photoshop; Illustrator; Typographie; Branding,Photoshop; Typographie; Canva; InDesign; Branding; Illustrator,1,3,Licence,Licence,Français (courant),Français (intermédiaire),100.0
Developpeur Mobile,Firebase; Dart; Flutter; Kotlin,Dart; Git; Search Console,2,1,Licence,Licence,Français (courant),Français (courant); Anglais (débutant),48.8
UI/UX Designer,UX Research; Prototypage; Illustrator,Aucune information,2,5,Bac,Master,Français (intermédiaire); Anglais (courant),Français (intermédiaire); Anglais (débutant),45.0
Chef de projet digital,Scrum; Communication; Asana; ClickUp,Communication; Agile; Scrum; Asana,4,1,Licence,Master,Français (courant),Français (avancé),71.2
SEO/SEA,Keyword Research; Google Ads; Search Console,Keyword Research; Search Console; Google Ads; SEM; SEO; Google Analytics,1,6,Master,Bac,Anglais (intermédiaire),Français (avancé),82.5
UI/UX Designer,UX Research; Figma; Prototypage; Photoshop,Photoshop; Prototypage,3,6,Licence,Licence,Anglais (intermédiaire),Français (courant); Anglais (avancé),72.5
Data Analyst,SQL; Python; Power BI; Excel,Pandas; Excel; Power BI; Python,1,5,Bac,Bac,Anglais (intermédiaire),Français (intermédiaire),76.2
Developpeur Mobile,Kotlin; Git; Dart; Java,Dart; Kotlin; Git; Photoshop,2,3,Bac,Master,Anglais (intermédiaire); Français (avancé),Français (avancé); Anglais (intermédiaire),86.2
Graphiste,Illustrator; Photoshop; Branding; Typographie; Canva,InDesign; Asana,1,1,Licence,Master,Français (intermédiaire),Français (intermédiaire),45.0
UI/UX Designer,Figma; Illustrator; Prototypage; UX Research,Adobe XD; UX Research; Photoshop; Prototypage; Figma,4,4,Licence,Bac,Français (intermédiaire); Anglais (intermédiaire),Français (courant),73.8
Developpeur Web,Git; JavaScript; PHP,Git; Laravel; PHP,4,0,Master,Master,Anglais (intermédiaire); Français (avancé),Français (intermédiaire),56.7
Social Media Manager,Instagram; Facebook; Meta Ads; Analytics; TikTok,Instagram; LinkedIn; Analytics,2,2,Master,Master,Français (courant); Anglais (intermédiaire),Français (courant); Anglais (débutant),67.0
Developpeur Mobile,Kotlin; Firebase; Flutter; Dart; Java; Git,Flutter; Java; Firebase; Kotlin; Git,2,3,Master,Master,Anglais (avancé),Français (courant); Anglais (débutant),90.8
Data Analyst,Pandas; SQL; Data Visualization,Pandas; SQL; Data Visualization; Power BI; Excel,3,6,Bac,Licence,Anglais (avancé),Français (intermédiaire); Anglais (avancé),100.0
Chef de projet digital,Gestion de projet; Communication; Agile; Scrum; Asana; ClickUp,Agile; Communication; ClickUp,3,4,Master,Bac,Français (avancé),Français (avancé); Anglais (avancé),65.0
UI/UX Designer,Adobe XD; UX Research; Figma; Prototypage; Photoshop; Illustrator,Adobe XD; Figma,4,6,Licence,Master,Anglais (courant); Français (avancé),Français (intermédiaire); Anglais (intermédiaire),63.3
Social Media Manager,LinkedIn; Meta Ads; Analytics; Instagram; TikTok,LinkedIn,2,2,Licence,Bac,Anglais (intermédiaire),Français (courant); Anglais (intermédiaire),48.5
UI/UX Designer,UX Research; Prototypage; Photoshop; Figma,Figma; Agile,2,1,Master,Licence,Français (courant),Français (courant); Anglais (courant),41.2
Data Analyst,Data Visualization; Excel; Pandas,Aucune information,2,6,Licence,Licence,Français (avancé); Anglais (intermédiaire),Français (avancé),40.0
Social Media Manager,Facebook; Meta Ads; TikTok; LinkedIn,Analytics; Facebook,3,0,Licence,Bac,Français (avancé); Anglais (intermédiaire),Français (avancé),26.2
Developpeur Web,JavaScript; Laravel; Git; HTML/CSS; PHP; MySQL,MySQL; Laravel; PHP; Git; JavaScript; HTML/CSS,1,3,Master,Bac,Français (courant),Français (intermédiaire); Anglais (courant),92.5
Data Analyst,Data Visualization; Excel; Power BI,Python; Excel,2,4,Master,Licence,Anglais (avancé); Français (intermédiaire),Français (courant),50.8
Chef de projet digital,ClickUp; Asana; Scrum; Gestion de projet; Communication; Agile,Asana,2,8,Master,Licence,Français (courant),Français (courant); Anglais (avancé),46.7
SEO/SEA,SEO; SEM; Google Analytics,SEM,4,3,Bac,Bac,Français (courant); Anglais (intermédiaire),Français (intermédiaire),53.3
Content Manager,Canva; Content Strategy; Analytics; WordPress; Copywriting,Aucune information,1,2,Bac,Licence,Anglais (avancé); Français (intermédiaire),Français (courant); Anglais (débutant),45.0
Developpeur Mobile,Git; Flutter; Firebase; Kotlin; Dart,Kotlin; Java; Flutter; Dart,4,1,Licence,Licence,Français (avancé); Anglais (débutant),Français (intermédiaire); Anglais (débutant),63.0
UI/UX Designer,Photoshop; UX Research; Illustrator,Adobe XD; UX Research; Figma; Photoshop,3,4,Bac,Licence,Anglais (intermédiaire); Français (intermédiaire),Français (courant),76.7
Social Media Manager,Meta Ads; Analytics; TikTok,LinkedIn; Analytics,2,1,Bac,Bac,Anglais (intermédiaire),Français (courant); Anglais (courant),53.3
Graphiste,Canva; Typographie; Photoshop,InDesign; Typographie; Asana,1,4,Bac,Licence,Français (avancé),Français (courant),63.3
Community Manager,Analytics; Facebook; Instagram,Instagram; Analytics,2,3,Master,Master,Français (intermédiaire),Français (avancé),81.7
Developpeur Web,Git; PHP; Laravel; JavaScript; MySQL; HTML/CSS,HTML/CSS; PHP,4,6,Bac,Bac,Français (avancé); Anglais (courant),Français (avancé),58.3
Graphiste,Typographie; InDesign; Photoshop; Canva,Illustrator; Branding,2,4,Master,Bac,Français (courant),Français (courant),37.5
Developpeur Mobile,Java; Flutter; Dart,Flutter; Dart; Git; Java; Kotlin,2,0,Licence,Bac,Français (avancé),Français (courant),72.5
Graphiste,Canva; Photoshop; InDesign; Branding,InDesign; Typographie; Photoshop; Canva; Illustrator; Branding; Analytics,4,4,Bac,Master,Français (intermédiaire),Français (avancé),100.0
Chef de projet digital,Gestion de projet; ClickUp; Asana; Scrum,Aucune information,2,7,Bac,Master,Anglais (intermédiaire); Français (avancé),Français (courant); Anglais (débutant),45.0
Developpeur Mobile,Dart; Git; Java,Dart; Firebase; Adobe XD,1,1,Master,Licence,Français (intermédiaire),Français (avancé),55.8
Content Manager,Analytics; Canva; Copywriting; SEO; Content Strategy,Instagram,4,1,Master,Master,Français (intermédiaire); Anglais (avancé),Français (avancé),25.0
Developpeur Web,Git; PHP; Laravel,JavaScript; PHP; HTML/CSS; MySQL,4,6,Master,Licence,Français (intermédiaire); Anglais (courant),Français (avancé),50.8
Chef de projet digital,Gestion de projet; Asana; Communication; ClickUp; Agile; Scrum,ClickUp; Communication; Gestion de projet; Agile; Asana; Scrum,4,4,Bac,Master,Anglais (courant); Français (courant),Français (avancé); Anglais (avancé),100.0
Community Manager,Canva; Facebook; Analytics; TikTok; Instagram; Copywriting,Canva; Copywriting,2,4,Master,Master,Anglais (intermédiaire),Français (avancé); Anglais (courant),63.3
Developpeur Web,JavaScript; PHP; Laravel,PHP; Git; MySQL,3,3,Licence,Licence,Anglais (débutant),Français (intermédiaire); Anglais (courant),63.3
Graphiste,Branding; Photoshop; Typographie; Illustrator; Canva,Aucune information,3,6,Bac,Licence,Français (avancé),Français (intermédiaire),45.0
SEO/SEA,SEO; SEM; Search Console; Google Ads; Google Analytics,Aucune information,4,1,Licence,Licence,Anglais (avancé),Français (avancé); Anglais (intermédiaire),30.0
Content Manager,Copywriting; Canva; SEO; Content Strategy; WordPress,Canva; SEO; WordPress; Copywriting,2,0,Licence,Master,Français (intermédiaire); Anglais (débutant),Français (avancé); Anglais (débutant),69.0
Data Analyst,Power BI; SQL; Excel; Python; Pandas; Data Visualization,Excel; Pandas; Power BI,4,2,Master,Bac,Français (avancé); Anglais (avancé),Français (courant); Anglais (débutant),55.0
UI/UX Designer,Adobe XD; Illustrator; Photoshop; Prototypage; UX Research; Figma,UX Research,2,2,Licence,Licence,Français (intermédiaire); Anglais (intermédiaire),Français (intermédiaire); Anglais (avancé),54.2
Graphiste,InDesign; Typographie; Illustrator; Canva; Photoshop; Branding,Analytics,2,3,Bac,Master,Français (courant),Français (intermédiaire),45.0
Developpeur Web,Laravel; MySQL; HTML/CSS; PHP,Git; PHP; JavaScript; HTML/CSS; Laravel,3,6,Licence,Bac,Français (avancé),Français (courant),78.8
Social Media Manager,LinkedIn; Instagram; Meta Ads,Facebook; Instagram; Analytics,1,2,Master,Licence,Anglais (courant),Français (courant),45.8
Graphiste,Illustrator; Typographie; Photoshop; Canva; InDesign; Branding,Branding; InDesign; Photoshop,4,3,Licence,Licence,Français (avancé),Français (courant),67.5
UI/UX Designer,Illustrator; Photoshop; Prototypage; Figma; UX Research,Illustrator; Photoshop; Prototypage; UX Research,1,6,Master,Licence,Anglais (avancé),Français (avancé); Anglais (intermédiaire),81.5
Community Manager,Facebook; Instagram; TikTok; Analytics; Canva,Facebook; Canva,4,3,Master,Licence,Anglais (avancé); Français (intermédiaire),Français (courant),49.5
UI/UX Designer,Prototypage; Figma; Photoshop; Adobe XD; Illustrator,UX Research; Adobe XD; Illustrator; Photoshop; Figma,4,5,Master,Licence,Français (intermédiaire),Français (courant); Anglais (débutant),81.5
UI/UX Designer,Prototypage; Adobe XD; Illustrator; UX Research,UX Research,4,2,Licence,Licence,Anglais (intermédiaire),Français (avancé); Anglais (courant),48.8
UI/UX Designer,Illustrator; Prototypage; Adobe XD; Figma; Photoshop; UX Research,Adobe XD; Figma; Illustrator; Photoshop; UX Research,1,1,Licence,Bac,Anglais (débutant),Français (intermédiaire),73.3
Developpeur Mobile,Kotlin; Java; Git,Dart; Kotlin; Firebase; Java; Git,4,3,Master,Bac,Français (avancé); Anglais (courant),Français (avancé); Anglais (intermédiaire),87.5
Graphiste,Illustrator; Canva; Typographie; Photoshop; Branding; InDesign,Branding; Canva; Firebase,2,6,Master,Licence,Français (courant),Français (intermédiaire),55.8
Graphiste,Typographie; Canva; InDesign; Photoshop; Branding; Illustrator,Branding; Typographie,1,6,Licence,Bac,Français (avancé),Français (avancé),55.8
Data Analyst,Excel; Power BI; Data Visualization; Python; Pandas; SQL,Python,3,6,Bac,Bac,Anglais (avancé); Français (avancé),Français (intermédiaire); Anglais (avancé),54.2
UI/UX Designer,Photoshop; UX Research; Illustrator; Adobe XD; Prototypage; Figma,Illustrator; Adobe XD; UX Research; Figma; Photoshop,3,1,Licence,Bac,Anglais (courant),Français (courant); Anglais (avancé),70.0
Chef de projet digital,Agile; ClickUp; Communication; Scrum; Asana; Gestion de projet,Aucune information,4,3,Licence,Licence,Français (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),40.0
Data Analyst,Pandas; Data Visualization; SQL; Excel; Python,Power BI; Python; Excel; Pandas; SQL; Data Visualization,2,1,Licence,Licence,Français (avancé),Français (courant); Anglais (avancé),90.0
Chef de projet digital,Communication; Asana; Agile; Scrum; ClickUp; Gestion de projet,Agile; Asana; Gestion de projet; Communication; ClickUp; Scrum; Kotlin,3,3,Master,Licence,Français (intermédiaire),Français (avancé); Anglais (avancé),92.5
SEO/SEA,Google Analytics; Google Ads; SEO; Keyword Research; Search Console; SEM,SEO; Google Analytics; Google Ads; SEM; Keyword Research,3,3,Master,Licence,Anglais (avancé),Français (avancé); Anglais (courant),83.3
SEO/SEA,Keyword Research; Google Ads; SEM; Google Analytics; Search Console,Search Console; Google Ads; SEM; Google Analytics; SEO,1,3,Bac,Bac,Anglais (avancé); Français (courant),Français (intermédiaire),84.0
UI/UX Designer,UX Research; Photoshop; Adobe XD; Prototypage,Aucune information,4,4,Licence,Licence,Français (courant),Français (avancé); Anglais (débutant),45.0
Content Manager,Copywriting; Analytics; WordPress; Content Strategy; Canva,Canva; WordPress; Content Strategy; SEO; Copywriting; Analytics,1,3,Master,Master,Français (avancé); Anglais (débutant),Français (courant); Anglais (avancé),100.0
UI/UX Designer,Adobe XD; Figma; Photoshop; Illustrator,Figma; UX Research; Adobe XD,1,3,Licence,Master,Français (avancé),Français (avancé); Anglais (courant),72.5
Chef de projet digital,Gestion de projet; Communication; Asana; ClickUp; Scrum,Aucune information,3,3,Bac,Bac,Français (intermédiaire),Français (avancé); Anglais (avancé),45.0
Graphiste,Typographie; Branding; Illustrator; Photoshop; Canva; InDesign,Aucune information,2,5,Licence,Master,Français (courant),Français (avancé),45.0
Chef de projet digital,ClickUp; Gestion de projet; Scrum,Canva; TikTok,2,7,Licence,Master,Français (courant); Anglais (intermédiaire),Français (avancé); Anglais (débutant),45.0
Developpeur Web,Git; HTML/CSS; JavaScript; PHP; MySQL; Laravel,Git; HTML/CSS; PHP; Laravel; MySQL,4,3,Master,Bac,Français (courant); Anglais (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),78.3
Social Media Manager,Instagram; Meta Ads; Analytics; TikTok; LinkedIn; Facebook,LinkedIn; Instagram; Meta Ads; Analytics; Facebook; TikTok,2,1,Licence,Master,Anglais (intermédiaire); Français (courant),Français (avancé); Anglais (intermédiaire),90.0
Community Manager,Instagram; Copywriting; Facebook; Canva,Copywriting; Facebook; Analytics; Instagram; TikTok; Canva,3,0,Licence,Master,Français (courant); Anglais (avancé),Français (intermédiaire); Anglais (courant),80.0
Social Media Manager,Meta Ads; TikTok; Instagram,LinkedIn; Facebook; Meta Ads; TikTok; Analytics; Instagram,1,1,Master,Master,Anglais (débutant),Français (intermédiaire); Anglais (débutant),100.0
Social Media Manager,Analytics; TikTok; LinkedIn; Meta Ads,TikTok; Analytics; Instagram; Facebook; Meta Ads,4,3,Master,Bac,Français (courant),Français (avancé); Anglais (débutant),73.8
Community Manager,Facebook; TikTok; Copywriting; Canva,Copywriting; Canva; Instagram; Facebook; Analytics; TikTok,4,3,Licence,Master,Français (avancé),Français (avancé),95.0
Chef de projet digital,Agile; Gestion de projet; Communication; ClickUp,Aucune information,3,0,Licence,Master,Français (courant); Anglais (débutant),Français (courant),20.0
Content Manager,Analytics; Content Strategy; Copywriting,Aucune information,4,4,Licence,Master,Anglais (avancé); Français (intermédiaire),Français (courant),40.0
Graphiste,Typographie; InDesign; Canva; Photoshop; Illustrator; Branding,Typographie; Illustrator; InDesign; Photoshop; Canva,1,2,Master,Master,Français (intermédiaire),Français (avancé),90.8
UI/UX Designer,Figma; Prototypage; Photoshop,Photoshop; UX Research; Prototypage; Figma; Illustrator; Adobe XD,2,4,Licence,Master,Français (courant); Anglais (courant),Français (avancé); Anglais (avancé),100.0
Content Manager,Copywriting; Analytics; Content Strategy; Canva,Content Strategy; Analytics,2,0,Master,Bac,Français (intermédiaire); Anglais (courant),Français (intermédiaire),40.0
Developpeur Mobile,Git; Dart; Kotlin,Java; Git; Kotlin; Dart; Firebase,2,3,Licence,Master,Anglais (débutant),Français (intermédiaire),90.0
